1677,1,957766,SKI-TK. OKEKE,"CIPANAS, CIANJUR",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1678,1,957767,SKI-WR. H. YANTO,"POM BBENSIN CIHERANG PACET, CI",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",0
1679,1,957768,SKI-TK. TALANG MAS,"DEPAN TOSERBA FAMILY, PACET CI",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1680,1,957955,SKI-TK. HASAN,JL. PSR. METRO CIRANJANG NO.22,CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",201
1681,1,957958,SKI-PRIMKOP KARTIKA PANCAGIRI,JL. PALASARI YON ARMED 5/105 S,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1682,1,957961,SKI-MM. ABU DAWUD,JL. RY. HANCET KOTA BUNGA SUKA,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
1683,1,958014,SKI-TK. ZAENAL,JL. KADUDAMPIT SUKABUMI,SUKABUMI,43153,SKI-Z1CP01,SUKABUMI KOTA,200
1684,1,958020,SKI-TK. ELISA,JL. SILIWANGI RT.01/01 CISAAT,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1685,1,958022,SKI-TK. AMANAH,JL. SILIWANGI RT.01/01 CISAAT,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1686,1,958024,SKI-TK. SAMI,JL. CISAAT RT.02/01,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1687,1,958025,SKI-TK. ADANG,JL. CISAAT RT.02/01,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1688,1,958164,SKI-AP. CAHAYA FARMA,JL. RY. CIBATU NO.297 RT.23 RW,SUKABUMI,43152,SKI-Z1PH01,SUKABUMI KOTA,100
1689,1,958357,SKI-TK. FARHAN,"JL. HANCET 21 SUKANAGALIH, PAC",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1690,1,958361,SKI-TK. RIZKY ABADI,JL. PENGADEGAN RT.02/06 PAGELA,CIANJUR,43266,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1691,1,958574,SKI-TEAM PROMOSI CEREBOS,JL. RY. CIBOLANG RT.04 RW.02 N,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1692,1,958770,SKI-TK. SINAR JAYA,JL. ARIA CIKONDANG NO.25 RT.00,CIANJUR,43213,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
1693,1,959303,SKI-TO. SAHABAT,JL. SURADE RT.06/02 PELABUHAN,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1694,1,959304,SKI-TK. SUMBER RIZKY I,JL. CIDAUN PASIRKADERI RT.03/0,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1695,1,959305,SKI-TK. FAUJI PUTRA,JL. CIDAUN DS. KERTAJAYA RT.02,CIANJUR,43212,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1696,1,959307,SKI-TK. ANUGERAH,JL. SURADE TELAGAMURNI CIBITUN,SUKABUMI,43172,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1697,1,959516,SKI-KLINIK TIARA BUNDA,JL. SURYAKENCANA NO.17 RT.02B/,SUKABUMI,43356,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",102
1698,1,959519,SKI-AP. RINADIN,JL. SILIWANGI NO.313 KEL. CICU,SUKABUMI,43359,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",102
1699,1,959917,SKI-TK. BUDI,JL. RY. BEDENG RT.03/01 PASIRI,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1700,1,959923,SKI-TK. YANI,JL. GARUDA NO.9 DPN MASJID AL-,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,200
1701,1,960291,SKI-TK. BERKAH JAYA,JL. RY. CIBEBER RT.03/02 CIHAU,CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1702,1,960348,SKI-BPK. SUPRIYONO,JL. RY. CIMAJA NO.44 RT.02 RW.,SUKABUMI,43365,SKI-Z2PH01,"PALABUHAN RATU, SURADE",103
1703,1,960350,SKI-AP. WARAS FARMA,JL. SURYAKENCANA NO.64 RT. 01,SUKABUMI,43111,SKI-Z1PH01,SUKABUMI KOTA,100
1704,1,960517,SKI-TK. PUTRA SETIA 3,JL. RY. BOJONG TERONG MEKAR SA,CIANJUR,43273,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1705,1,960612,SKI-TO. JAMPANG MEDIKA,JL. CIBARUSA RT.07 RW.04 JAMPA,SUKABUMI,43178,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1706,1,960731,SKI-AP. BAROS,JL. RY. BAROS NO.264/224 BAROS,SUKABUMI,43161,SKI-Z1PH01,SUKABUMI KOTA,100
1707,1,961313,SKI-TK. SAMI JAYA,JL. SINDANG BARANG RT.02/03 SE,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1708,1,961568,SKI-TK. ENAS,JL. RAWAGEDE KP. BUNUT RT.01/0,CIANJUR,43267,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1709,1,961570,SKI-TK. BAHAGIA PUTRA,KP. SINAGAR RT.02/01 BOJONGPET,CIANJUR,43267,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1710,1,961571,SKI-TK. KHUSI,JL. CIKUKULU RT.18/04 SAMPING,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1711,1,961586,SKI-AP. ASIA FARMA,JL. RAYA BANDUNG NO.18 KP. BOJ,CIANJUR,43281,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1712,1,961768,SKI-WR. EDI,JL. AL MUWAHIDIN KR. TGH,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1713,1,961769,SKI-TK. MELYANA,JL. CIJALINGAN CICANTAYAN SUKA,SUKABUMI,43155,SKI-Z1CP01,SUKABUMI KOTA,200
1714,1,961770,SKI-TK. MAMAN,SELAKOPI CIBADAK HERGAMANAH CI,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1715,1,961771,SKI-TK. H. ASEP,JL. AL MUHIDIN KRG TGH CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1716,1,961773,SKI-TK. PANJALU,SELAKOPI HERGAMANAH CICANTAYAN,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1717,1,961774,SKI-TK. AMILA,SELAKOPI SPG REL KA. HERGAMANA,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1718,1,961775,SKI-WR. ADE,CIJALING CICANTAYAN,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1719,1,961776,SKI-WR. ADE,CIJALING CICANTAYAN,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1720,1,961777,SKI-WR. SAWARGI,SELAKOPI HERGAMANAH CICANTAYAN,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1721,1,961778,SKI-WR. SADA JAYA,KADUPUGUR CIJALINGAN CICANTAYA,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1722,1,961779,SKI-WR. ABANG LUBIS,KADUPUGUR CIJALING CICANTAYAN,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1723,1,961780,SKI-WR. SALSA,CICANTAYAN RT.6/6 CISANDE,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1724,1,961782,SKI-WR. MARIO,CICANTAYAN DPN. HH AGUSTA CISA,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1725,1,961784,SKI-WR. ASLI,CICANTAYAN CISANDE RT.6/6,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1726,1,961785,SKI-WR. REGA,CICANTAYAN CISANDE RT.6/6,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1727,1,961788,SKI-TK. MIMIN,CICANTAYAN CIKUKULU CISANDE,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1728,1,961789,SKI-TK. HARAHAP,CICANTAYAN CIKUKULU SMPG SD. C,SUKABUMI,43155,SKI-Z1CP01,SUKABUMI KOTA,200
1729,1,961794,SKI-WR. HIDAYAT,CIKOLANG TIPAR ASSALAFIYAH CIB,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1730,1,961795,SKI-WR. MUTIARA,CIKOLAG TIPAR ASSALAFIYAH CIBA,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1731,1,961796,SKI-WR. AISYAH,JL. RY CIBOLANG DPN ALMASTORIY,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1732,1,961797,SKI-WR. BP. DALANG,JL. RY. CIBOLANG KALER 08/05 C,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1733,1,961798,SKI-WR. NANDA,CICANTAYAN PERTIGAAN CISANDE,SUKABUMI,43155,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1734,1,961799,SKI-TK. SEDAP SARI,CICANTAYAN CIBOLANG TURUNAN,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1735,1,961800,SKI-TK. H. DAMIN,CIBOLANG TIPAR ASSALAFIYAH 6/7,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1736,1,961805,SKI-TK. PURNAMA,CICANTAYAN CIBOLANG CISAAT 2/6,SUKABUMI,43152,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1737,1,961850,SKI - BTM,Komplek Citra Buana Blok CC No,BATAM,,SKI-Z1CP01,SUKABUMI KOTA,0
1738,1,961955,SKI-MM. SARIMART,JL. GATOT MANGUNPRAJA NAGRAK R,CIANJUR,43215,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1739,1,961993,KPG - SKI,Jl. Raya Bolang kaler RT 04/RW,Sukabumi,,SKI-Z4,SKI Z4,300
1740,1,962138,SKI-KIDDY LAND,JL. SURYAKENCANA NO.120 GN. PA,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
1741,1,962212,SKI-TK. IWAN BUKU STATIONNERY,JL. SILIWANGI NO.19A CICURUG D,KAB. SUKABUMI,43359,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1742,1,962478,SKI-TK. ANEKA,PS. CISAAT BLOK KJ NO.8 SUKAMA,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1743,1,962735,SKI-TK. ABAH GROSIR,"JL. ARWINDA 13 SINDANGLAKA, KA",CIANJUR,43281,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1744,1,962998,SKI-PT. TIRTA INVESTAMA (BABAKAN,"JL. CIDAHU KAMPUNG POJOK , DES",SUKABUMI,4011,SKI-Z2PH01,"PALABUHAN RATU, SURADE",101
1745,1,963098,SKI-AP. SOHABAT,JL. PANGLAYUNGAN RT.12/04 JAMP,SUKABUMI,43178,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",102
1746,1,963130,SKI - PMS,"Jl. Medan Km 4,5",PEMATANG SIAN,,SKI-Z4,SKI Z4,300
1747,1,963424,SKI-TK. HAMID,JL. PANGLESERAN RT.01/05 CIKEM,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1748,1,963425,SKI-TK. WAWAN,JL. PANGLESERAN CIKEMBAR,SUKABUMI,43157,SKI-Z1CP01,SUKABUMI KOTA,200
1749,1,963429,SKI-TK. RISMAN,JL. PANGLESERAN CIKEMBAR,SUKABUMI,43157,SKI-Z1CP01,SUKABUMI KOTA,200
1750,1,963430,SKI-TK. NABIL,JL. PELABUHAN II CIKEMBAR,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1751,1,963433,SKI-TK. NIA,JL. PELABUHAN II PANGLESERAN 0,SUKABUMI,43157,SKI-Z1CP01,SUKABUMI KOTA,200
1752,1,963435,SKI-TK. TATI,JL. PELABUHAN II PANGLESERAN R,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1753,1,963437,SKI-TK. MANG ODING,JL. PELABUHAN II LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1754,1,963438,SKI-TK. BABANG,JL. PELABUHAN II LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1755,1,963439,SKI-TK. UJANG,JL. PELABUHAN II LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1756,1,963440,SKI-TK. MEGA,JL. PELABUHAN II LEMBURSITU,SUKABUMI,43169,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1757,1,963520,SKI-TK. KARYO,JL. PELABUHAN II KEL. BOJONG R,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1758,1,963523,SKI-TK. UDANG,JL. PELABUHAN II BOJONG RT.2/3,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1759,1,963525,SKI-TK. IBU RULI,JL. PEL II BOJONG RT.03/5 CIKE,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1760,1,963527,SKI-TK. IBU LALA,JL. PEL II BOJONG RT.3/5 CIKEM,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1761,1,963528,SKI-TK. RIDA,JL. PEL. II BOJONG RT.5/8 CIKE,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1762,1,963530,SKI-TK. IBU NINI,JL. PEL. II BOJONG RT.05/8 CIK,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1763,1,963531,SKI-TK. IBU MAY,JL PEL. II BOJONG RT.6/9 CIKEM,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1764,1,963535,SKI-TK. KECIL,JL. PEL. II BOJONG RT.07/01 CI,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1765,1,963536,SKI-TK. BIMA,JL. PEL. II BOJONG RT.2/3 CIKE,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1766,1,963537,SKI-TK. PEPEN,JL. PEL. II BOJONG RT.2/6 CIKE,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1767,1,963538,SKI-TK. VIA,JL. PEL. II LEMBURSITU RT.2/3,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1768,1,963539,SKI-TK. INDRA JAYA,JL. PEL II RT.2/1 LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1769,1,963567,SKI-TK. ILHAM,JL. PEL. II LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1770,1,963569,SKI-TK. IBU WAWAT,JL. PEL II LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1771,1,963628,SKI-TK. ANISA,JL. PEL II LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1772,1,963632,SKI-TK. AAN,JL. PEL. II RT.2/2 LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1773,1,963652,SKI-TOSERBA PMI,JL. DR. MUWARDI NO.105 RT.4/5,CIANJUR,43216,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1774,1,963653,SKI-TK. GILANG,JL/ PEL II KM.13 DPN. PABRIK E,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1775,1,963654,SKI-TK. ENI,JL. PEL II KM. 13 DPN GSI BOJO,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1776,1,963655,SKI-TK. WARUNG TAMA 2,JL. PEL. II DPN PABRIK GSI BOJ,SUKABUMI,43157,SKI-Z1CP01,SUKABUMI KOTA,200
1777,1,963656,SKI-WR. ENDAH,JL. PEL II DPN PABRIK GSI BOJO,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1778,1,963657,SKI-WR. LALAN,JL. PEL II DPN PABRIK GSI BOJO,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1779,1,963658,SKI-TK. SUPRI,JL. PEL. II DPN TK. OBA MART R,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1780,1,963659,SKI-TK. BONA RISKY 2,JL. PEL II KM.13 BOJONG CIKEMB,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1781,1,963660,SKI-TK. FITRI,JL. PEL II KM 13 RT.7/2 BOJONG,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1782,1,963690,SKI-TK. SURYA MANDIRI,JL. PEL. II BOJONG CIKEMBAR,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1783,1,963725,SKI-TK. DADANG,"JL. PEL II NO.26 KERTARAHARJA,",SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1784,1,963727,SKI-TK. PUTRI,JL. PEL II PANGGLESERAN DPN. P,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1785,1,963728,SKI-TK. TAMBUNAN,JL. PEL II PANGGLESERAN DPN. P,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1786,1,963729,SKI-TK. RAJA,JL. PEL II PANGGLESERAN DPN PA,SUKABUMI,43157,SKI-Z1CP01,SUKABUMI KOTA,200
1787,1,963730,SKI-TK. ASEP,JL. PEL. II PANGGLESERAN KM. 9,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1788,1,963731,SKI-TK. PUTRI LUGINA,JL. LEMBURSITU RT.3/6 LEMBURSI,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1789,1,963732,SKI-TK. IDA,JL. LEMBURSITU PANGGLESERAN,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1790,1,963733,SKI-TK. TAUFIK,JL. LEMBURSITU KM.08 LEMBURSIT,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1791,1,963734,SKI-TK. SITORUS,JL. LEMBURSITU KM.8 LEMBURSITU,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1792,1,963735,SKI-TK. IROH,TB. CEMERLANG PEL II LEMBURSIT,SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1793,1,963776,SKI-TK. NENG ITA,JL. PERTIGAAN KOTA BUNGA PACET,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1794,1,963778,SKI-TK. ABC,PERTIGAAN KOTA BUNGA PACET,CIANJUR,43253,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1795,1,964634,SKI-TO. SETIA,JL. SUKANEGARA RT.03/01 NO.12,CIANJUR,43264,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1796,1,964637,SKI-TK. DENDI,JL. CISOLOK KP. TUGU CIKAHURIP,SUKABUMI,43366,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1797,1,964718,SKI-TK. DANI,JL. R. SYAMSUDIN GG. AJID NO.1,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
1798,1,964904,SKI-SC. DISEN FUTSAL,JL. GELANGGANG PEMUDA 10 CISAA,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1799,1,964906,SKI-KANTIN SMK MUHAMMADIYAH 2,JL. KARANGTENGAH BATU TUNGGAL,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1800,1,965234,SKI-TK. H. EMAD,JL. CIBITUNG KP. KEBON KELAPA,SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
1801,1,965471,SKI-PT. AQUA GOLDEN MISSISSIPPI,JL. SILIWANGI NO.70 BLOK NYANG,SUKABUMI,43113,SKI-Z2PH01,"PALABUHAN RATU, SURADE",101
1802,1,965823,SKI - YOG,Jl. Ring Road Barat,YOGYAKARTA,,SKI-Z4,SKI Z4,300
1803,1,965871,SKI-TK. NISA,JL. KR. TGH DPN PABRIK GSI CIB,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1804,1,965874,SKI-TK. NANANG,JL. KARANGTENGAH PERTIGAAN NAG,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1805,1,965875,SKI-TK. D CEL,KRG TENGAH PERUM GRIYA RT.01 C,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1806,1,965876,SKI-TK. MR. BLACK,KRG TGH SAMPING KORAMIL KRG. T,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1807,1,965877,SKI-TK. SUKALAKSANA,AL MUAHDIN KRG TGH RT.13/04 CI,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1808,1,965878,SKI-TK. IIN,KRG TGH SPG PENGADILAN NEGERI,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1809,1,965879,SKI-TK. TARI,KRG TGH RT.12/02 CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1810,1,965880,SKI-WR. NANDAN,"KR TGH DPN POM BENSIN, CIBADAK",SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1811,1,965882,SKI-TK. ADE YUSUF,KR TGH SILIWANGI CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1812,1,965886,SKI-TK. ASRI,KRG TGH SILIWANGI SPG JEMBATAN,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1813,1,965887,SKI-TK. IWAN,JL. SILIWANGI DPN BENGKEL MOBI,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1814,1,965888,SKI-TK. NANDANG,JL. SILIWANGI CIBADAK SEKARWAN,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1815,1,965889,SKI-WR. ATIH,JL. SILIWANGI CIBADAK SEKARWAN,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1816,1,965890,SKI-WR. CANDRA,JL. SILIWANGI CIBADAK SEKARWAN,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1817,1,965891,SKI-TK. FADIL,JL. SILIWANGI CIBADAK SEKARWAN,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1818,1,965892,SKI-TK. SILIWANGI,JL. SILIWANGI NO.2 KRG TGH RT.,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1819,1,965893,SKI-TK. LUKMAN,JL. SILIWANGI NO.49 RT.03/11 K,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1820,1,965896,SKI-TK. ENDANG,JL. SILIWANGI NO.116 RT.10/03,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1821,1,965897,SKI-TK. ALIF,JL. PRIMER NO. 5 CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1822,1,965898,SKI-TK. MULYATI,JL. PRIMER RT.3/2 CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1823,1,965899,SKI-TK. JAYA,JL. PRIMER NO.151 RT.3/5 CIBAD,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1824,1,965900,SKI-TK. IBU WIWIK,JL. PRIMER 63 RT.3/3 CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1825,1,965901,SKI-TK. HANIB,JL. PRIMER 63 RT.3/3 CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1826,1,965903,SKI-TK. ARI,JL. PRIMER RT.10/10 CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1827,1,965904,SKI-TK. ZARA,JL. PRIMER RT.10/11 CIBADAK,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1828,1,965906,SKI-TK. PURI JAYA,JL. SILIWANGI KRG TGH RT03/03,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1829,1,965908,SKI-TK. NITA,JL. PRIMER RT6/11 SEKARWANGI C,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
1830,1,966703,SKI-TK. RIZKIA,JL. GADOG RT.01/05 PACET CIANJ,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
1831,1,967223,SKI-TO. NANDA,"JL. PELABUHAN 2 TEGAL LEGA, LE",SUKABUMI,43169,SKI-Z1CP01,SUKABUMI KOTA,200
1832,1,967403,SKI-PT. SAKA FARMA,JL. RY. CIBOLANG NO.21 RT.04 R,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
1833,1,967740,SKI-AP. SUMBER WANGI,JL. AHMAD YANI GG. TEK HOAT NO,SUKABUMI,43111,SKI-Z1PH01,SUKABUMI KOTA,100
1834,1,967741,SKI-AP. PANANJUNG,JL. RUMAH SAKIT BELAKANG NO.02,SUKABUMI,43111,SKI-Z1PH01,SUKABUMI KOTA,100
1835,1,967742,SKI-AP. PRIMA,JL. SILIWANGI RT.002 RW.018 NO,SUKABUMI,43364,SKI-Z2PH01,"PALABUHAN RATU, SURADE",101
1836,1,967860,SKI-TK. ANYAR,JL. KIDANG KENCANA RT.02/07 PE,SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",201
1837,1,967866,SKI-TK. PO TJOE TONG,JL. KAPT. HARUN KABIR NO.57 RT,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
