51,1,900756,SKI-TK. YOGA,"JL. TAMAN JAYA CIEMAS SURADE,",SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
52,1,900757,SKI-TK. RATNA,JL. A. YANI NO. 229 SUKABUMI,SUKABUMI,43112,SKI-Z1CP01,SUKABUMI KOTA,200
53,1,900758,SKI-TK. KITA,JL. CIWANGI NO. 10 SUKABUMI,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
54,1,900759,SK-TK. KURNIA,"KP. WALURAN DS. WALURAN SMI, S",SUKABUMI,43175,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
55,1,900760,SKI-TK. WINI PUTRI,JL. TAMAN JAYA RT.02/03 CIEMAS,SUKABUMI,43177,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
56,1,900761,SKI-AP. SUMBER WARAS,JL. HARUM KABIR NO.1 SUKABUMI,SUKABUMI,43111,SKI-Z1PH01,SUKABUMI KOTA,100
57,1,900762,SKI-TK. ANNA,"TERMINAL CIBADAK BLK C NO 11,",SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
58,1,900763,SKI-TK. SINAR JAYA,"JL. KIDUNG KENCANA P.RATU SMI,",SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",205
59,1,900764,SKI-MM. TANJUNG,JL. SUKANEGARA 01/01 NO.20,CIANJUR,43212,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
60,1,900765,SKI-TK. AL-ZENA,PS. CICURUG BLK D NO 3 CIBADAK,SUKABUMI,43359,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
61,1,900766,SKI-TK. RIDO,JL. A YANI NO. 217 SUKABUMI,SUKABUMI,43112,SKI-Z1CP01,SUKABUMI KOTA,200
62,1,900767,SKI-AP. RB. RIDO GALIH,"JL. GUDANG NO. 24 SUKABUMI, SU",SUKABUMI,43151,SKI-Z1PH01,SUKABUMI KOTA,100
63,1,900768,SKI-TK. SUGIH,JL. SUKANEGARA RT.01/01 NO.45,CIANJUR,43264,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
64,1,900769,SKI-TK. ANUGRAH AGUNG,JL.ARIEF RAHMAN HAKIM SUKABUMI,SUKABUMI,43132,SKI-Z1CP01,SUKABUMI KOTA,200
65,1,900770,SKI-TK. OKEKE,JL. RY CIPANAS NO.8 CIANJUR,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
66,1,900771,SK-TK. UJU,"JL. RY.CIPEUYEUM NO. 602, CIAN",CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
67,1,900772,SKI-TK. ARUM SARI,JL. CIKEMBAR KM.18 SUKABUMI,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
68,1,900773,SKI-TK. ANDI,"TERMINAL CIBADAK SUKABUMI, SUK",KAB. SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
69,1,900774,SKI-TO. SUMBER WANGI,JL. JEND. A. YANI NO.7B BLKNG,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
70,1,900775,SKI-TK. LAKSANA,JL. RY CIKEMBANG NO.7 SUKABUMI,SUKABUMI,43111,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
71,1,900776,SKI-TK. SUMBER REJEKI,PS. TERMINAL CIPANAS,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
72,1,900777,PT. HERO SUPERMARKET GUARDIAN,"JL. RE. MARTADINATA NO.25, SUK",SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
73,1,900778,SKI-TK. DAMAI               *,PS. CIBADAK BLOK AB V NO. 8-10,KAB. SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
74,1,900779,SKI-TK. MEGAH JAYA,PS. CICURUG JL. SILIWANGI NO.3,KAB. SUKABUMI,43359,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
75,1,900780,SKI-TO. ANISA,JL. SUKANEGARA 01/01 NO.29,CIANJUR,43264,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
76,1,900781,SKI-TK. SINAR ANUGRAH,JL. TEGAL BULED 41,KAB. SUKABUMI,43186,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
77,1,900782,SKI-TK. IMANUEL,"TERMINAL CIBADAK BLOK D NO 5,",KAB. SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
78,1,900783,SKI-TK. ABDUL WAHID,"PS. GSP BLK E/3A CIPANAS, CIAN",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
